Name;ISIN;Ticker;Market Index;Earliest Data;Latest Data
Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C);LU2233156582;PRAB;Solactive Eurozone Government Bond 0-1 Year;January 2020;December 2024
Amundi Prime Euro Gov Bonds 0-1Y - IE;LU2531807738;;Solactive Eurozone Government Bond 0-1 Year;January 2020;December 2024
Amundi Prime Eurozone UCITS ETF DR (D);LU1931974429;ETFEZ, PR1Z, PRIZ;Solactive GBS Developed Markets Eurozone Large & Mid Cap;May 2006;December 2024
Amundi Prime Eurozone UCITS ETF DR (C);LU2089238112;PRAZ;Solactive GBS Developed Markets Eurozone Large & Mid Cap;May 2006;December 2024
Amundi Prime Global UCITS ETF DR (D);LU1931974692;ETFGLO, PR1W, PRIW;Solactive GBS Developed Markets Large & Mid Cap;May 2006;December 2024
Amundi Prime Global UCITS ETF DR (C);LU2089238203;PRAW, PRWU;Solactive GBS Developed Markets Large & Mid Cap;May 2006;December 2024
L&G Gerd Kommer Multifactor Equity UCITS ETF USD Accumulating;IE0001UQQ933;GERD;Solactive Gerd Kommer Multifactor Equity;July 2017;December 2024
L&G Gerd Kommer Multifactor Equity UCITS ETF USD Distributing;IE000FPWSL69;K0MR;Solactive Gerd Kommer Multifactor Equity;July 2017;December 2024
Amundi Global Aggregate Green Bond UCITS ETF Acc;LU1563454310;CLIM, CLMU, KLMT;Solactive Global Bond EUR USD IG;March 2014;December 2024
VanEck Vectors Global Equal Weight UCITS ETF;NL0009690221;T6ET, TGET, TGGB;Solactive Global Equity;September 2017;December 2024
Global X SuperDividend;US37950E5490;;Solactive Global SuperDividend;June 2011;December 2024
L&G Hydrogen Economy UCITS ETF USD Acc;IE00BMYDM794;HTMW, HTWG, HTWO;Solactive Hydrogen Economy;November 2018;December 2024
HANetf HAN-GINS Tech Megatrend Equal Weight UCITS ETF;IE00BDDRF700;ITEK, ITEP, T3KE;Solactive Innovative Technologies;September 2013;December 2024
Amundi PEA US Tech ESG UCITS ETF Acc;FR0013412269;PANX;Solactive ISS ESG US Tech 100;May 2010;December 2024
Amundi Index Smart Factory UCITS ETF EUR (C);LU2037749822;540S, SFTRY, SMAFY;Solactive Smart Factory;January 2013;December 2024
HANetf The Travel UCITS ETF;IE00BMFNW783;7RIP, TRIP, TRYP;Solactive Travel;June 2017;December 2024
Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C;LU0290358497;DBXT, XEON;Solactive €STR +8.5 Daily;January 2003;December 2024
Xtrackers II EUR Overnight Rate Swap UCITS ETF 1D;LU0335044896;DX22, XEOD;Solactive €STR +8.5 Daily;January 2003;December 2024
iShares STOXX Europe 50 UCITS ETF (DE);DE0005933949;EXW3;STOXX Europe 50;December 1986;November 2024
Deka STOXX Europe 50 UCITS ETF;DE000ETFL250;EL4Y;STOXX Europe 50;December 1986;November 2024
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C);FR0010790980;AE50, C5E;STOXX Europe 50;December 1986;November 2024
iShares STOXX Europe 50 UCITS ETF;IE0008470928;EUN, EUN1, EUNA;STOXX Europe 50;December 1986;November 2024
iShares STOXX Europe 600 UCITS ETF (DE);DE0002635307;EXSA, SXPIEX;STOXX Europe 600;December 1986;November 2024
Amundi STOXX Europe 600 ESG II UCITS ETF Dist;DE000ETF9603;CB1EU6, E960;STOXX Europe 600;December 1986;November 2024
BNP Paribas Easy STOXX Europe 600 UCITS ETF;FR0011550193;ETSZ, ETZ;STOXX Europe 600;December 1986;November 2024
Invesco STOXX Europe 600 UCITS ETF;IE00B60SWW18;S600, SC0C, SDJ600;STOXX Europe 600;December 1986;November 2024
Xtrackers STOXX Europe 600 UCITS ETF 1C;LU0328475792;DX2X, XSX6;STOXX Europe 600;December 1986;November 2024
ComStage STOXX Europe 600 UCITS ETF;LU0378434582;C060, CBEU6;STOXX Europe 600;December 1986;November 2024
Amundi Stoxx Europe 600 UCITS ETF Acc;LU0908500753;LYP6, MEUD, MEUS;STOXX Europe 600;December 1986;November 2024
Amundi STOXX Europe 600 UCITS ETF EUR (C);LU1681040223;AME6, C6E;STOXX Europe 600;December 1986;November 2024
iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE);DE000A0Q4R28;EXV5;STOXX Europe 600 Automobiles & Parts;December 1986;November 2024
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Acc;LU1834983394;AUT, AUTP, LAUT;STOXX Europe 600 Automobiles & Parts;December 1986;November 2024
Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Dist;LU2082995908;AUTD, DFOA;STOXX Europe 600 Automobiles & Parts;December 1986;November 2024
iShares STOXX Europe 600 Banks UCITS ETF (DE);DE000A0F5UJ7;EXV1;STOXX Europe 600 Banks;December 1986;November 2024
